State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
TX,Ward County,12.8,17.8,"57,570"
TX,Washington County,14.5,20.0,"51,879"
TX,Webb County,30.5,41.9,"39,237"
TX,Wharton County,17.2,24.9,"45,198"
TX,Wheeler County,12.9,19.0,"51,114"
TX,Wichita County,18.9,26.3,"45,430"
TX,Wilbarger County,16.5,25.0,"43,073"
TX,Willacy County,35.4,43.0,"30,287"
TX,Williamson County,6.6,8.7,"78,531"
TX,Wilson County,9.4,13.2,"68,805"
TX,Winkler County,13.3,18.5,"55,331"
TX,Wise County,12.1,17.4,"58,367"
TX,Wood County,16.6,27.7,"45,753"
TX,Yoakum County,11.1,14.8,"59,752"
TX,Young County,15.0,22.0,"49,079"
TX,Zapata County,30.9,45.2,"35,754"
TX,Zavala County,32.0,42.2,"27,711"
UT,Utah,11.2,12.8,"62,961"
UT,Beaver County,11.2,14.8,"50,492"
UT,Box Elder County,8.4,11.7,"58,380"
UT,Cache County,16.0,16.0,"51,951"
UT,Carbon County,16.3,20.6,"47,894"
UT,Daggett County,8.0,12.2,"57,368"
UT,Davis County,6.9,8.3,"72,268"
UT,Duchesne County,11.0,12.0,"63,149"
UT,Emery County,10.4,14.4,"54,086"
UT,Garfield County,11.2,18.0,"45,509"
UT,Grand County,13.0,21.5,"44,858"
UT,Iron County,18.3,22.4,"45,118"
UT,Juab County,10.5,14.2,"55,201"
UT,Kane County,11.3,17.0,"47,530"
UT,Millard County,13.1,19.2,"52,206"
UT,Morgan County,4.8,5.3,"81,358"
UT,Piute County,17.3,31.1,"39,507"
UT,Rich County,9.1,11.1,"58,645"
UT,Salt Lake County,10.8,12.8,"65,549"
UT,San Juan County,28.5,31.9,"39,305"
UT,Sanpete County,17.2,19.1,"46,929"
UT,Sevier County,14.0,18.8,"48,711"
UT,Summit County,6.2,8.1,"93,235"
UT,Tooele County,7.2,9.3,"67,938"
UT,Uintah County,9.9,11.4,"67,561"
UT,Utah County,12.5,11.6,"65,425"
UT,Wasatch County,6.9,9.2,"75,112"
UT,Washington County,13.2,18.5,"54,398"
UT,Wayne County,15.0,25.6,"41,596"
UT,Weber County,12.4,15.6,"58,786"
VT,Vermont,10.4,13.7,"56,883"
VT,Addison County,8.9,10.9,"58,408"
VT,Bennington County,11.8,17.8,"50,506"
VT,Caledonia County,11.5,17.8,"46,403"
VT,Chittenden County,10.4,10.2,"67,112"
VT,Essex County,14.3,22.8,"41,764"
VT,Franklin County,8.1,13.0,"59,280"
VT,Grand Isle County,8.3,13.2,"68,342"
VT,Lamoille County,10.2,13.7,"54,076"
VT,Orange County,9.8,14.8,"54,552"
VT,Orleans County,13.3,20.0,"42,884"
VT,Rutland County,11.4,17.0,"51,164"
VT,Washington County,9.3,11.1,"56,333"
VT,Windham County,13.2,18.1,"49,298"
VT,Windsor County,9.1,12.6,"53,984"
VA,Virginia,11.2,15.0,"66,263"
VA,Accomack County,20.4,31.0,"38,690"
VA,Albemarle County,9.5,9.6,"71,293"
VA,Alleghany County,18.2,24.0,"45,210"
VA,Amelia County,11.1,17.0,"53,078"
VA,Amherst County,15.0,20.6,"48,646"
VA,Appomattox County,14.2,20.9,"49,461"
VA,Arlington County,7.1,8.8,"104,354"
VA,Augusta County,9.3,12.9,"56,867"
VA,Bath County,10.3,14.6,"44,401"
VA,Bedford County,9.1,12.8,"54,153"
VA,Bland County,13.6,17.8,"44,727"
VA,Botetourt County,7.4,9.3,"62,591"
VA,Brunswick County,22.1,29.2,"39,748"
VA,Buchanan County,28.8,33.6,"32,433"
VA,Buckingham County,20.2,27.5,"43,774"
VA,Campbell County,11.7,16.3,"46,938"
VA,Caroline County,12.0,17.2,"54,696"
VA,Carroll County,15.0,24.3,"42,790"
VA,Charles City County,11.6,19.5,"51,645"
